key,display_name,formula,charge,state_class,excitation_label,tags,aliases
C,Carbon atom,C,0,atom,,"atom, curated",
C+,C+,C,1,cation,,"ion, curated",
C2F3,C2F3 radical,C2F3,0,ground,,"radical, fluorocarbon, curated",
C2F3+,C2F3+,C2F3,1,cation,,"ion, fluorocarbon, curated",
C2F4,Tetrafluoroethylene,C2F4,0,ground,,"molecule, fluorocarbon, curated",
C2F4+,C2F4+,C2F4,1,cation,,"ion, fluorocarbon, curated",
C2F5,C2F5 radical,C2F5,0,ground,,"radical, fluorocarbon, curated",
C3F5,C3F5 radical,C3F5,0,ground,,"radical, fluorocarbon, curated",
C3F5+,C3F5+,C3F5,1,cation,,"ion, fluorocarbon, curated",
C3F5-,C3F5-,C3F5,-1,anion,,"anion, fluorocarbon, curated",
C3F6,C3F6 neutral fragment,C3F6,0,ground,,"molecule, fluorocarbon, curated",
C4F7,C4F7 radical,C4F7,0,ground,,"radical, fluorocarbon, curated",
CF+,CF+,CF,1,cation,,"ion, fluorocarbon, curated",
CF2,CF2 radical,CF2,0,ground,,"radical, fluorocarbon, curated",
CF2+,CF2+,CF2,1,cation,,"ion, fluorocarbon, curated",
CF3,CF3 radical,CF3,0,ground,,"radical, fluorocarbon, curated",
CF3+,CF3+,CF3,1,cation,,"ion, fluorocarbon, curated",
CF3-,CF3-,CF3,-1,anion,,"anion, fluorocarbon, curated",
CH,CH radical,CH,0,ground,,"radical, curated",
CH+,CH+,CH,1,cation,,"ion, curated",
CH2,Methylene,CH2,0,ground,,"radical, curated",
CH2+,CH2+,CH2,1,cation,,"ion, curated",
CH2-,CH2-,CH2,-1,anion,,"anion, curated",
CH3,Methyl radical,CH3,0,ground,,"radical, curated",
CH3+,CH3+,CH3,1,cation,,"ion, curated",
CH4,Methane,CH4,0,ground,,"feed, curated",
CH4+,CH4+,CH4,1,cation,,"ion, curated",
CH4[V13],CH4(v13),CH4,0,excited,V13,"excited, curated",
CH4[V24],CH4(v24),CH4,0,excited,V24,"excited, curated",
F,Fluorine atom,F,0,atom,,"atom, fluorocarbon, curated",
F-,Fluoride anion,F,-1,anion,,"anion, fluorocarbon, curated",
H,Hydrogen atom,H,0,atom,,"atom, curated",
H-,Hydride anion,H,-1,anion,,"anion, curated",
H2,Hydrogen,H2,0,ground,,"molecule, curated",
c-C4F8,"Cyclobutane, octafluoro-",C4F8,0,ground,,"feed, fluorocarbon, curated",
c-C4F8-,C4F8-,C4F8,-1,anion,,"anion, fluorocarbon, curated",
