species_key,config,projectiles,species_count,reaction_count,reaction_generations,max_generation_seen,multi_step,gen2plus_reaction_count,electron_reaction_count,ar_plus_reaction_count,families,gen2plus_families,charged_species,gen2plus_charged_species,gen2plus_equations,error
Ar,config_etch_common_support_runtime.yaml,"[""e-"", ""Ar+""]",4,3,[1],1,False,0,3,1,"[""electron_excitation"", ""electron_ionization""]",[],"[""Ar+""]",[],[],
He,config_etch_common_support_runtime.yaml,"[""e-"", ""Ar+""]",1,0,[],0,False,0,0,0,[],[],[],[],[],
N2,config_etch_common_support_runtime.yaml,"[""e-"", ""Ar+""]",4,3,[1],1,False,0,3,0,"[""electron_dissociation"", ""electron_excitation"", ""electron_ionization""]",[],"[""N2+""]",[],[],
H2,config_etch_common_support_runtime.yaml,"[""e-"", ""Ar+""]",1,0,[],0,False,0,0,0,[],[],[],[],[],
O2,config_o2_electron_argon_ion_runtime.yaml,"[""e-"", ""Ar+""]",10,14,"[1, 2, 3]",3,True,7,9,5,"[""charge_transfer"", ""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""ion_neutral_followup"", ""mutual_neutralization""]","[""charge_transfer"", ""dissociative_recombination"", ""electron_attachment"", ""electron_ionization"", ""ion_neutral_followup"", ""mutual_neutralization""]","[""Ar+"", ""O+"", ""O-"", ""O2+"", ""O2-""]","[""Ar+"", ""O+"", ""O-"", ""O2+"", ""O2-""]","[""Ar+ + O -> Ar + O+"", ""e- + O2+ -> O + O"", ""e- + O -> O-"", ""Ar+ + O2- -> Ar + O2"", ""Ar+ + O- -> Ar + O"", ""e- + Ar -> e- + e- + Ar+"", ""O+ + O2 -> O + O2+""]",
CF4,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",5,3,[1],1,False,0,3,0,"[""electron_attachment"", ""electron_dissociation"", ""electron_ionization""]",[],"[""CF4+"", ""CF4-""]",[],[],
CHF3,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",3,2,[1],1,False,0,2,0,"[""electron_attachment"", ""electron_ionization""]",[],"[""CHF3+"", ""CHF3-""]",[],[],
CH2F2,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",3,2,[1],1,False,0,2,0,"[""electron_attachment"", ""electron_ionization""]",[],"[""CH2F2+"", ""CH2F2-""]",[],[],
CH3F,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",3,2,[1],1,False,0,2,0,"[""electron_attachment"", ""electron_ionization""]",[],"[""CH3F+"", ""CH3F-""]",[],[],
C2F6,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",3,2,[1],1,False,0,2,0,"[""electron_attachment"", ""electron_ionization""]",[],"[""C2F6+"", ""C2F6-""]",[],[],
c-C4F8,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",14,11,"[1, 2]",2,True,2,7,0,"[""electron_attachment"", ""electron_dissociative_ionization"", ""electron_ionization"", ""neutral_fragmentation"", ""radical_fragmentation""]","[""radical_fragmentation""]","[""C2F4+"", ""C3F5+"", ""CF3-"", ""F-"", ""c-C4F8+"", ""c-C4F8-""]",[],"[""C3F5 -> C2F3 + CF2"", ""C4F7 -> C3F5 + CF2""]",
C5F8,config_etch_fluorocarbon_runtime.yaml,"[""e-"", ""Ar+""]",3,2,[1],1,False,0,2,0,"[""electron_attachment"", ""electron_ionization""]",[],"[""C5F8+"", ""C5F8-""]",[],[],
SF6,config_etch_inorganic_fluoride_runtime.yaml,"[""e-"", ""Ar+""]",7,10,"[1, 2]",2,True,5,8,0,"[""collisional_quenching"", ""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""collisional_quenching"", ""dissociative_recombination"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""SF6+"", ""SF6-""]","[""SF6+""]","[""e- + SF6+ -> SF5 + F"", ""e- + SF6+ -> SF4 + F + F"", ""SF6(A1) + SF6 -> SF6 + SF6"", ""SF6(A1) -> SF6"", ""e- + SF6(A1) -> e- + SF6""]",
NF3,config_etch_inorganic_fluoride_runtime.yaml,"[""e-"", ""Ar+""]",7,10,"[1, 2]",2,True,5,8,0,"[""collisional_quenching"", ""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""collisional_quenching"", ""dissociative_recombination"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""NF3+"", ""NF3-""]","[""NF3+""]","[""e- + NF3+ -> NF2 + F"", ""e- + NF3+ -> N + F + F + F"", ""NF3(A1) + NF3 -> NF3 + NF3"", ""NF3(A1) -> NF3"", ""e- + NF3(A1) -> e- + NF3""]",
Cl2,config_etch_halogen_runtime.yaml,"[""e-"", ""Ar+""]",4,4,"[1, 2]",2,True,1,4,0,"[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination""]","[""Cl2+"", ""Cl2-""]","[""Cl2+""]","[""e- + Cl2+ -> Cl + Cl""]",
HBr,config_etch_halogen_runtime.yaml,"[""e-"", ""Ar+""]",8,10,"[1, 2, 3]",3,True,7,7,0,"[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""Br2+"", ""Br2-"", ""HBr+"", ""HBr-""]","[""Br2+"", ""Br2-"", ""HBr+""]","[""e- + HBr+ -> H + Br"", ""Br + HBr -> Br2 + H"", ""e- + Br2 -> Br2-"", ""e- + Br2 -> e- + Br + Br"", ""e- + Br2 -> e- + e- + Br2+"", ""HBr+ + Br2 -> Br2+ + HBr"", ""H + Br2 -> HBr + Br""]",
HCl,config_etch_halogen_runtime.yaml,"[""e-"", ""Ar+""]",8,10,"[1, 2, 3]",3,True,7,7,0,"[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""Cl2+"", ""Cl2-"", ""HCl+"", ""HCl-""]","[""Cl2+"", ""Cl2-"", ""HCl+""]","[""e- + HCl+ -> H + Cl"", ""Cl + HCl -> Cl2 + H"", ""e- + Cl2 -> e- + Cl + Cl"", ""HCl+ + Cl2 -> Cl2+ + HCl"", ""H + Cl2 -> HCl + Cl"", ""e- + Cl2 -> Cl2-"", ""e- + Cl2 -> e- + e- + Cl2+""]",
BCl3,config_etch_halogen_runtime.yaml,"[""e-"", ""Ar+""]",9,10,"[1, 2, 3]",3,True,6,10,0,"[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_ionization""]","[""BCl3+"", ""BCl3-"", ""Cl2+"", ""Cl2-""]","[""BCl3+"", ""Cl2+"", ""Cl2-""]","[""e- + Cl2 -> e- + Cl + Cl"", ""e- + Cl2 -> Cl2-"", ""e- + Cl2 -> e- + e- + Cl2+"", ""e- + BCl3+ -> BCl2 + Cl"", ""e- + BCl3+ -> B + Cl + Cl2"", ""e- + Cl2+ -> Cl + Cl""]",
SiH4,config_deposition_silane_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",7,8,"[1, 2, 3]",3,True,6,5,0,"[""dissociative_recombination"", ""electron_dissociation"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""dissociative_recombination"", ""electron_ionization"", ""ion_neutral_followup"", ""radical_neutral_reaction""]","[""H2+"", ""SiH4+""]","[""H2+"", ""SiH4+""]","[""e- + SiH4+ -> SiH2 + H2"", ""e- + SiH4+ -> SiH3 + H"", ""SiH3 + H -> SiH4"", ""e- + H2 -> e- + e- + H2+"", ""SiH4+ + H2 -> SiH4 + H2+"", ""SiH4+ + H2 -> SiH3 + H + H2+""]",
SiH2Cl2,config_deposition_silane_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",8,12,"[1, 2, 3]",3,True,9,7,0,"[""collisional_quenching"", ""dissociative_recombination"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""ion_neutral_followup"", ""radiative_relaxation"", ""radical_neutral_reaction"", ""superelastic_deexcitation""]","[""collisional_quenching"", ""dissociative_recombination"", ""electron_ionization"", ""ion_neutral_followup"", ""radiative_relaxation"", ""radical_neutral_reaction"", ""superelastic_deexcitation""]","[""H2+"", ""SiH2Cl2+""]","[""H2+"", ""SiH2Cl2+""]","[""e- + SiH2Cl2+ -> SiCl2 + H2"", ""SiH2Cl2(A1) + SiH2Cl2 -> SiH2Cl2 + SiH2Cl2"", ""SiH2Cl2(A1) -> SiH2Cl2"", ""e- + SiH2Cl2(A1) -> e- + SiH2Cl2"", ""e- + SiH2Cl2+ -> SiHCl2 + H"", ""SiHCl2 + H -> SiH2Cl2"", ""e- + H2 -> e- + e- + H2+"", ""SiH2Cl2(A1) + H2 -> SiH2Cl2 + H2"", ""SiH2Cl2+ + H2 -> SiHCl2 + H + H2+""]",
SiHCl3,config_deposition_silane_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",5,8,"[1, 2]",2,True,5,5,0,"[""collisional_quenching"", ""dissociative_recombination"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""radiative_relaxation"", ""radical_neutral_reaction"", ""superelastic_deexcitation""]","[""collisional_quenching"", ""dissociative_recombination"", ""radiative_relaxation"", ""radical_neutral_reaction"", ""superelastic_deexcitation""]","[""SiHCl3+""]","[""SiHCl3+""]","[""SiHCl3(B1) + SiHCl3 -> SiHCl3 + SiHCl3"", ""SiHCl3(B1) -> SiHCl3"", ""e- + SiHCl3(B1) -> e- + SiHCl3"", ""e- + SiHCl3+ -> SiCl3 + H"", ""SiCl3 + H -> SiHCl3""]",
NH3,config_deposition_reactant_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",4,3,"[1, 2]",2,True,1,3,0,"[""dissociative_recombination"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination""]","[""NH3+""]","[""NH3+""]","[""e- + NH3+ -> NH2 + H""]",
N2O,config_deposition_reactant_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",4,3,"[1, 2]",2,True,1,3,0,"[""dissociative_recombination"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination""]","[""N2O+""]","[""N2O+""]","[""e- + N2O+ -> NO + N""]",
O3,config_deposition_reactant_gas_phase_runtime.yaml,"[""e-"", ""Ar+""]",10,16,"[1, 2, 3]",3,True,14,12,0,"[""collisional_quenching"", ""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""ion_neutral_followup"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""collisional_quenching"", ""dissociative_recombination"", ""electron_attachment"", ""electron_dissociation"", ""electron_excitation"", ""electron_ionization"", ""ion_neutral_followup"", ""radiative_relaxation"", ""superelastic_deexcitation""]","[""O-"", ""O2+"", ""O2-"", ""O3+""]","[""O-"", ""O2+"", ""O2-"", ""O3+""]","[""e- + O2 -> O- + O"", ""e- + O2 -> O2-"", ""e- + O2 -> e- + O + O"", ""e- + O2 -> e- + O2(a1Delta_g)"", ""e- + O2 -> e- + O2(b1Sigma_g+)"", ""e- + O2 -> e- + e- + O2+"", ""e- + O3+ -> O2 + O"", ""O3+ + O2 -> O2 + O + O2+"", ""O2 -> O2[c1Sigma_u_minus]"", ""e- + O2 -> e- + O2[c1Sigma_u_minus]"", ""e- + O2 -> e- + O2(c1Sigma_u_minus)"", ""O2(c1Sigma_u_minus) + O2 -> O2 + O2"", ""O2(c1Sigma_u_minus) -> O2"", ""e- + O2(c1Sigma_u_minus) -> e- + O2""]",
WF6,config_advanced_precursor_runtime.yaml,"[""e-"", ""Ar+""]",5,6,"[1, 2]",2,True,3,6,0,"[""dissociative_recombination"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination"", ""electron_dissociation""]","[""WF6+""]","[""WF6+""]","[""e- + WF6+ -> WF5 + F"", ""e- + WF5 -> e- + WF4 + F"", ""e- + WF6+ -> WF4 + F + F""]",
C8H20O4Si,config_advanced_precursor_runtime.yaml,"[""e-"", ""Ar+""]",4,3,"[1, 2]",2,True,1,3,0,"[""dissociative_recombination"", ""electron_dissociation"", ""electron_ionization""]","[""dissociative_recombination""]","[""C8H20O4Si+""]","[""C8H20O4Si+""]","[""e- + C8H20O4Si+ -> C6H15O3Si + C2H5O""]",
